State1,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021,2022Q1,2022Q2,2022Q3,2022,2023Q1,2023Q2,2023Q3,2022(duplicate),2023,2024Q1,2024Q2,2024Q3,2021Q4,2022Q4,2023Q4
Colorado ,77380.0,78376.0,78437.0,77409.5,78537.25,78806.0,78995.75,80661.0,78723.0,79958.5,81543.25,82418.75,86308.25,84620.77731665024,85363.8425167095,86891.14600522476,88357.28645699,90680.25,92619.25,93828.0,94622.25,96006.75,97553.5,99210.0,100215.75,98855.25,89679.0,96268.75,97781.5,100690.25,104406.0,106619.25,109089.75,117953.5,120207.0,122335.0,122822.25,127243.75,128555.75,131467.0,123668.25,132406.75,135602.75,137543.25,139327.0,124643.5,130793.5,142360.5
Idaho ,15887.75,16178.5,16387.25,16165.75,16339.0,16531.0,16513.25,17094.25,16734.0,17005.0,17192.75,17445.5,18073.5,17632.613346933776,17989.116031273974,18148.00772272345,18524.448150680473,18858.75,19170.25,19346.0,19676.75,20414.25,20720.0,21083.25,21447.75,21120.5,19409.0,21367.5,21924.5,22638.0,23352.5,23712.5,24070.75,26449.75,27109.5,27695.25,27717.75,29069.5,29257.0,29952.5,28072.5,30239.5,31236.5,31843.25,32411.0,26580.0,29616.5,32679.0
Montana ,11142.5,11138.75,11309.25,11187.5,11448.75,11385.5,11215.5,11556.75,11455.0,11485.75,11538.25,11748.75,11769.75,11643.0101238368,11754.90440866385,11777.840421643776,11903.2370011929,12297.5,12527.75,12653.75,12847.5,12977.75,13110.5,13337.75,13508.75,12987.0,11998.0,13085.25,13438.75,14113.25,14688.75,15005.0,14675.0,15761.0,16189.25,16434.0,16768.0,17330.5,17448.25,17772.0,17175.5,18313.75,18702.75,18963.75,19048.75,14893.0,18687.75,20704.25
Utah ,35248.0,35681.75,36875.75,36195.75,36686.25,37124.5,37497.0,39417.75,38539.5,38982.5,39736.75,40411.5,41229.25,40358.049285621,40762.98269402625,41583.437260785,42212.53064272025,43586.0,44351.5,44896.5,45303.5,47339.0,47526.25,48494.0,49159.75,49230.0,46691.5,50011.0,51629.5,52930.25,54287.0,55539.25,56335.0,60216.0,61457.75,62603.0,64092.5,66683.25,67248.5,68762.0,65270.25,70332.25,73387.0,74703.75,75841.75,62583.5,72093.25,78635.25
Wyoming ,11095.75,10894.25,9966.0,10041.25,10176.0,10023.5,9623.25,9582.0,9478.5,9511.5,9567.0,9770.75,9509.25,9274.6192013965,9489.799396528575,9494.7176234299,9777.689799208525,9607.75,9739.25,9868.25,9903.25,10028.5,10075.25,10125.25,10191.0,9708.5,8303.75,9045.25,9266.0,9825.75,10190.25,10525.5,10377.5,11423.25,12011.0,12084.0,12270.25,12333.75,12349.5,12685.75,12445.75,12997.75,13025.25,13245.0,13288.5,10968.5,13562.75,14622.0
Far West ,810319.25,815479.75,854309.25,839581.5,852259.5,858985.5,866410.5,902434.75,885282.75,896144.0,908362.25,919950.25,961826.75,940290.9191436525,955322.8499600925,967174.8947950475,984518.4187470624,1005864.75,1027394.5,1038061.0,1049868.25,1059147.5,1076262.75,1086844.0,1105495.5,1067914.25,968478.25,1052458.0,1070016.5,1104343.25,1145441.75,1167672.75,1166463.25,1214490.25,1236204.5,1262717.75,1266693.5,1319282.25,1336340.75,1361031.25,1274729.75,1355357.0,1407872.5,1426129.5,1443510.75,1248395.25,1353361.5,1404773.75
Alaska ,14136.5,13956.0,13186.75,13341.0,13478.75,13123.25,12804.0,12601.0,12510.25,12605.0,12622.5,12666.0,12869.75,12695.879660955476,12745.625025905425,12904.727750654325,13132.805331387975,13390.75,13593.25,13852.5,13897.75,13534.5,13570.0,13612.5,13668.75,13275.75,11486.25,12219.25,12838.75,13041.0,13514.0,13919.25,14337.25,15236.0,16064.25,16282.5,16424.75,16652.25,16588.75,16918.25,16568.0,17014.0,17318.25,17448.5,17535.25,16874.75,18116.25,17896.75
California ,582699.0,585310.25,620337.0,609696.75,618956.5,623212.75,629482.5,655682.75,642246.5,651166.5,660850.5,668467.0,699400.25,683499.2770760675,694944.978378465,703015.025002745,716141.5791707075,732024.0,748155.75,754335.0,763217.75,765797.75,779793.5,785959.25,801250.0,770902.75,700486.75,760552.0,775246.25,801784.75,830426.0,846083.75,843310.25,874431.0,889628.0,908705.25,910410.75,944658.5,956879.5,974539.5,915104.0,967594.75,1006801.0,1020044.5,1033055.25,894946.5,968878.75,994301.5
Hawaii ,19159.5,19240.25,20094.0,19789.75,20007.0,20193.25,20385.75,21167.75,20937.75,21123.5,21253.0,21356.75,22112.0,21928.085161863673,22006.663624624325,22184.37233826805,22328.766894636425,22986.75,23397.25,23572.0,23842.25,23710.0,23777.75,24006.25,24250.25,22581.0,19417.5,20258.75,20627.25,21045.75,22292.5,22986.75,22774.0,23819.75,24244.75,24838.0,25270.75,26526.0,26786.0,27248.25,25788.25,27566.25,28406.0,28734.0,29073.0,24771.0,28180.5,29704.75
Nevada ,34032.5,34548.75,34931.0,34175.5,34801.75,35297.5,35449.75,36569.5,35756.25,36134.25,37192.0,37195.0,39575.5,38801.6913536985,39232.56334740625,39980.11199745525,40287.713681429,41360.75,41982.25,42587.25,43379.5,43636.75,44211.0,44914.0,45438.0,46248.5,37773.5,43039.5,43882.25,45243.25,47699.75,48944.25,48621.75,52107.25,53352.5,54547.0,55734.75,58254.5,59009.0,60358.0,56830.25,61494.75,64100.75,64925.5,65509.0,52599.75,62932.25,68357.5
Oregon ,53959.75,54341.25,54407.25,53328.75,53930.0,55018.5,55351.25,57221.5,56521.25,57073.25,57155.25,58136.0,56788.75,55480.87781444275,56456.76802610675,57087.719979867,58129.16143621975,58708.0,59531.25,60407.5,61136.0,62386.0,62868.0,63696.25,64673.25,62649.25,57135.5,61589.25,62402.75,64141.75,65729.25,67216.0,68047.75,72544.25,73581.25,75422.25,74327.25,77460.25,78397.75,79881.25,74712.0,79721.0,81161.5,82344.5,83366.75,75104.0,75761.25,83144.75
Washington ,106332.0,108083.25,111353.25,109249.5,111085.5,112140.5,112937.25,119192.5,117310.75,118041.5,119289.0,122129.25,131080.75,127885.108076626,129936.25155758375,132002.93772606,134498.39223268276,137394.5,140734.75,143306.5,144395.25,150082.75,152042.75,154655.75,156215.25,152256.5,142179.0,154799.25,155019.0,159086.75,165780.25,168522.75,169372.25,176352.0,179334.0,182922.75,184525.25,195730.5,198680.0,202086.0,185727.25,201966.25,210085.0,212632.25,214971.75,184099.25,199492.25,211368.5
