State1,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021,2022Q1,2022Q2,2022Q3,2022,2023Q1,2023Q2,2023Q3,2022(duplicate),2023,2024Q1,2024Q2,2024Q3,2021Q4,2022Q4,2023Q4
Ohio ,145891.0,146403.25,152732.0,150715.25,152168.5,153158.0,154886.5,156655.5,153399.25,155819.25,158243.25,159160.25,161436.75,158864.2246237025,160417.4576065635,162591.75578094125,163873.43737505274,165580.25,168269.5,170730.5,171324.75,172003.0,172971.25,174545.25,175842.25,174077.0,156813.25,172204.0,174467.0,177749.75,182099.5,185350.0,189154.25,200744.5,204406.75,207398.5,206497.5,214041.5,215937.25,220217.75,208165.25,221208.5,227563.75,230694.0,233261.0,211417.75,213440.25,234637.5
Wisconsin ,73111.25,73690.5,75519.0,74186.25,75071.5,76056.75,76761.75,78272.0,77228.0,77723.75,78985.0,79151.75,80343.25,79250.002689638,79795.92114627975,80960.538505261,81366.87240308075,82867.25,83740.0,84473.5,85213.25,86310.5,87117.75,87504.25,88483.75,86039.75,78917.75,85599.0,87157.25,88402.5,90579.75,91971.75,92152.75,98007.75,99712.5,101176.0,99052.25,101736.0,102223.0,104283.75,100155.25,107111.75,110420.25,112111.5,113897.75,97657.0,97312.75,120204.25
Plains ,283945.0,285334.75,290722.0,286966.0,290277.75,292677.5,292967.25,298305.0,293613.75,297541.5,299868.25,302196.75,304726.75,301083.6903204075,304648.4819541125,305114.4698226875,308060.461165265,313634.5,319222.25,321705.0,323306.25,326689.0,329624.0,333214.0,335935.25,335883.25,307483.75,332481.0,339750.5,350030.25,362369.75,369225.0,362700.25,384495.25,392948.75,399317.25,399739.5,416565.5,419313.75,427667.75,405238.0,431725.75,437388.25,442944.25,446961.25,369176.0,422196.75,463356.0
Iowa ,42953.75,43059.0,43507.5,42837.75,43399.75,43904.25,43888.25,46295.75,45627.5,46198.5,46592.75,46764.5,45982.5,45543.270288112,46061.50248541275,45880.0662214965,46444.9237617485,46663.25,47544.75,47734.0,47759.5,48071.5,48495.5,49029.25,49061.75,49104.75,45497.25,49234.5,50431.0,52511.25,54985.25,55921.25,54215.0,56193.75,57526.0,58367.0,59585.5,61658.75,61689.0,62704.75,60688.25,63508.0,63480.5,63990.5,64393.75,53442.25,66255.25,67979.5
Kansas ,36488.25,36655.25,37410.25,36922.75,37548.25,37702.25,37467.5,37644.0,37226.25,37612.0,37777.0,37960.25,39777.0,39398.170283742,39666.3614286565,39875.95683962125,40167.744363883,41369.25,42043.25,42344.75,42560.75,43613.0,43990.5,44238.5,44651.25,44720.5,40748.5,44468.25,45204.5,46368.75,47792.5,48569.5,47845.25,51262.75,52318.0,53185.5,52331.5,54817.5,55916.0,57597.0,53153.0,57058.0,57463.75,58529.75,59030.75,48650.25,52559.75,59901.5
Minnesota ,80249.0,80628.75,82085.0,81457.25,81781.25,82094.5,83007.25,84774.0,82607.25,84193.5,85531.25,86763.5,87544.75,86859.959372399,87494.733011479,87351.6689002415,88472.5295525415,90089.25,91919.0,93173.75,93670.5,94558.5,95404.5,96438.0,97376.0,95927.25,87804.5,94233.75,95773.75,98114.25,102240.25,104298.5,103114.75,108707.5,110632.0,112685.75,112008.0,116051.75,116823.5,118897.5,113748.25,120790.5,123255.5,124407.75,125736.5,107806.0,116006.75,131389.25
Missouri ,70459.25,70893.25,73622.75,72265.0,73473.5,74308.0,74444.75,74778.25,74052.5,74726.25,74831.0,75503.25,75940.75,74641.754005247,75806.175905605,76380.29577582426,76934.7669969915,78128.5,79753.25,80296.0,80743.0,81203.25,81557.5,82475.0,83165.0,83870.25,77062.0,83410.0,85024.75,86919.25,89017.5,90739.0,89643.0,95099.75,96599.25,98233.75,99222.5,103939.5,104473.25,106300.75,100066.25,107528.5,110343.5,112041.25,113645.0,91896.25,106957.25,115400.5
Nebraska ,27932.75,28275.25,28320.5,27656.75,28295.75,28748.25,28581.0,29361.5,28965.25,29318.0,29589.75,29573.25,29897.0,29448.26090148875,29943.9366391555,29986.900393111,30208.41595241425,30985.5,31013.25,30806.5,31172.5,31640.5,32212.75,32858.25,33300.25,33689.0,30961.5,33732.25,35056.5,36456.25,37338.75,38055.5,36571.25,39257.5,40315.0,40971.5,41233.5,43698.0,44208.5,45281.75,41870.0,45321.25,45520.75,46309.5,46491.75,34434.5,44390.0,48096.75
North Dakota ,14193.25,14204.25,13965.0,14267.25,14060.75,13954.75,13577.75,13363.25,13250.0,13378.75,13352.25,13471.5,13131.75,12843.522895865975,13214.679786738325,13138.740409191774,13329.638082731624,13595.0,13990.75,14254.5,14242.0,14174.0,14339.25,14299.75,14368.0,14623.5,12627.25,13630.0,13973.25,14925.75,15722.5,16145.75,15890.0,17483.25,18686.25,18792.25,18162.75,18476.75,18272.75,18634.5,18445.0,19010.75,18781.5,18931.0,18805.25,16766.0,17689.25,20659.0
South Dakota ,11668.5,11619.0,11811.0,11559.5,11718.25,11965.5,12001.0,12088.5,11884.75,12114.25,12194.5,12160.25,12453.25,12348.752573553425,12461.092697064674,12500.8412832,12502.4424549541,12803.5,12958.0,13095.5,13158.0,13428.0,13624.25,13875.5,14013.0,13948.0,12782.25,13772.0,14287.0,14734.75,15273.5,15495.0,15421.25,16491.0,16872.25,17081.75,17195.5,17923.5,17930.75,18251.25,17267.25,18508.5,18542.5,18734.5,18858.25,16181.75,18337.0,19928.5
